gender_text,age_original,city,employment,schedule,auto,salary,gender,age,city_code,employment_code,schedule_code,auto_code
Мужчина,42,Липецк,полная занятость,полный день,Имеется собственный автомобиль,27000.0,1.0,0.26666668,0.0,0.0,0.0,0.0
Мужчина,41,Сочи,"частичная занятость, полная занятость","гибкий график, полный день",Не указано,60000.0,1.0,0.25714287,1.0,1.0,1.0,1.0
Мужчина,44,Липецк,полная занятость,"удаленная работа, полный день, вахтовый метод",Не указано,65000.0,1.0,0.2857143,0.0,0.0,2.0,1.0
Мужчина,43,Москва,полная занятость,"удаленная работа, гибкий график, полный день",Не указано,70000.0,1.0,0.2761905,2.0,0.0,3.0,1.0
Мужчина,39,Тула,"частичная занятость, полная занятость","полный день, сменный график",Не указано,45000.0,1.0,0.23809524,3.0,1.0,4.0,1.0
Мужчина,34,Казань,полная занятость,"полный день, вахтовый метод",Имеется собственный автомобиль,50000.0,1.0,0.1904762,4.0,0.0,5.0,0.0
Женщина,30,Павлодар,полная занятость,полный день,Не указано,100000.0,0.0,0.15238096,5.0,0.0,0.0,1.0
Мужчина,40,Москва,полная занятость,полный день,Имеется собственный автомобиль,80000.0,1.0,0.24761905,2.0,0.0,0.0,0.0
Женщина,40,Москва,полная занятость,полный день,Не указано,120000.0,0.0,0.24761905,2.0,0.0,0.0,1.0
Мужчина,44,Конаково,"частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, удаленная работа",Имеется собственный автомобиль,120000.0,1.0,0.2857143,6.0,2.0,6.0,0.0
Мужчина,33,Ессентуки,полная занятость,полный день,Имеется собственный автомобиль,30000.0,1.0,0.18095239,7.0,0.0,0.0,0.0
Мужчина,29,Симферополь,"частичная занятость, полная занятость","удаленная работа, гибкий график, полный день, сменный график",Имеется собственный автомобиль,50000.0,1.0,0.14285715,8.0,1.0,7.0,0.0
Мужчина,40,Санкт-Петербург,полная занятость,полный день,Не указано,100000.0,1.0,0.24761905,9.0,0.0,0.0,1.0
Мужчина,42,Казань,полная занятость,полный день,Не указано,40000.0,1.0,0.26666668,4.0,0.0,0.0,1.0
Мужчина,30,Москва,полная занятость,полный день,Не указано,120000.0,1.0,0.15238096,2.0,0.0,0.0,1.0
Мужчина,31,Киров,"проектная работа, частичная занятость, полная занятость","удаленная работа, гибкий график, полный день, сменный график",Не указано,150000.0,1.0,0.16190477,10.0,3.0,7.0,1.0
Мужчина,34,Москва,"стажировка, частичная занятость, полная занятость","удаленная работа, гибкий график, полный день, сменный график",Не указано,90000.0,1.0,0.1904762,2.0,4.0,7.0,1.0
Мужчина,35,Санкт-Петербург,полная занятость,полный день,Не указано,3000.0,1.0,0.2,9.0,0.0,0.0,1.0
